Activity
"Things we can do together as groups; puzzles, games, talk to each other"
Communal meal towards end of stay.  Talent show.  Bridge.  Jigsaw puzzles. Presentations.
Just a place to gather together. I really really valued the outdoor patio where we could share a meal together in HI. Eating together or at least the option to is what makes it a reunion for me 
"Some sort of means of outdoor relaxation so pool, water, outdoor lounging, fire pit, etc."
"Outdoor activities or gathering places, swimming"
"Stuff for grandkids to do-playground, pool, beach (not requirement)"
Places to easily gather with various groups of folks
"Great activities for children, unique swimming pools, zoo, theme park, museums, hiking, running paths, gardens, nearby attractions, yet peaceful environment."
"Common room for puzzles, unscheduled meet-ups"
Just the presence of some options
"Somewhere with outdoor game areas and provided equipment would be good (pickleball, volleyball, pool, etc.) To have something to do with a group of people or put on a tournament "
"If it’s a warmer climate, having a pool for the daytime and hot tub for the night time would be nice"
"Pool, river and/or lake"
"pool, pool table? "
Activities for ages 5 to 95
