States/Regions Covered
"IL, IA, WI, MN, Western PA, Western NY State"
anywhere within a six hour drive of cincinnati
Oregon and Washington.  Idaho only if absolutely necessary; it's quite a hike from here.
I can reasonably investigate anywhere within about 500 mi of San Francisco
"NJ, PA, MN, WI"
Kansas City and surrounding area. Something I could make a day trip out of
"MD, PA, WV, NC, DE"
"Missouri, Arkansas, Tennessee, Iowa, Illinois, Indiana, Kentucky, Wisconsin, Minnesota"
"Texas, Colorado, Oklahoma (yuck-still have ptsd over Red 11 Port), Louisiana (not ideal) "
Hershey with some help.
Kansas and surrounding states
" Honestly, I would be best if you'd just assign me some secretarial tasks, especially internet sleuthing or sending emails to people. Or if you need a detailed spreadsheet and help upkeeping it. I do that professionally. 

I'm always happy to throw Oregon into the mix since I live here, but we were just there in 2022 so I won't be lobbying for it as a location. "
"Ohio, though western/NW Ohio is quite a drive. Northern Kentucky, southern Indiana"
"CA, Or, WA"
Southern California
Northeast
"I have possible contacts in Hershey, Dwight is familiar with Fredricksburg, I’m familiar with CO. (Sharon)"
"Kentucky, Kansas"
Texas
