Nomination
"Canada:  Banff, Calgary, Whistler/Blackcomb, Quebec, Nova Scotia, Manitoba, Saskachawan"
"Vic, you and Vijay know Maine.  Any places you know of there?  I'd love to see a reunion to Maine, even if it is off in its own little corner of the USA."
"Asheville, NC"
Alaska???
We've looked at MN/WI.  Nothing that satisfied everything.  But could look again.
"Parkside Resort in Pigeon Forge TN )we got married here and it was excellent for groups, they have a lot of meeting space options), a Great Lakes location, Grand Lake CO (might be too pricey), Ozark Region/NW Arkansas, a big city like Chicago/Boston/NYC"
"Texas Hill Country, or Texas coast-we are headed to Cinnamon Shores in Port Aransas sunday. Google it. Looks fantastic and on the water. It is built by the people that built Watercolor in Florida, but since it is Texas it is a lot easier to get to and not too hot in the summer since it is on the water. "
"Hershey, PA.   Central Eastern PA.  Harrisburg airport is the nearest one.  But, Dulles or Philadelphia with a car rental would work."
Is Canada a deal-breaker? There may be some good options and the exchange rate is generally favorable. Not sure if everyone has passports and we might lose some people based on that. But it would expand options and could have favorable summer weather.]
"Big Sky, Bend, Smokey mountains"
Michigan or Minnesota would be interesting. Still in the midwest but somewhere we haven't really spent much time in. 
"The hills of northern and central Kentucky are gorgeous, lots of caving and national parks around. Hocking hills in Ohio is always a good time"
Michigan or place we haven't gone before
"California, Colorado, Florida, Idaho, Wyoming"
"Gruene, TX (adjacent to New Braunfels, q1.5hr from Fredericksburg)"
"Hershey PA…..Fredricksburg.  Vail Valley, CO"
"KY, PA"
