Lodging Type,Count
"Cabins, Hybrid Cabins + Condos Area",14
Hybrid Cabins + Condos Area,8
"Cabins, Hotel, Hybrid Cabins + Condos Area",6
"Cabins, Hybrid Cabins + Condos Area, Cabins was nicer for a bit more space to have people over, bit mixed is fine too.",1
"Need a mix of cabins, condos and hotel style rooms. Most important is cabins/condo's",1
"Hotel, Hybrid Cabins + Condos Area",1
no preference,1
"Hybrid Cabins + Condos Area, Suites or condos ",1
