Home Airport
STL
CVG
PDX
OMA
KLVK
PHL
DFW
MCI
WAS
STL
DFW
HNL
MCI
BOS
MCI
PDX
MCI
Cvg
CVG
FAT
BUR or LAX
JFK
DFW
CVG
SMF
OPO
PDX
PHX
MCI
MCI
DFW
