Ideal lodging budget/day per bedroom,Maximum lodging budget/day per bedroom
250,300
150,200
no budget,no budget
$100 (?),$200 (?)
150,250
150,200
250,350
No limit. ,No limit
400,550
Can vary.   ,
200,350
Defer to Glenn Adams’s answer,Defer to Glenn Adams’s answer
75,150
100,150
less than 200,250
350,400
Flexible,Flexible
250,500
250,250
200,400
$300-$400,$500 per day
300-500,
