Comment
My Airport Code is DCA (1st choice) or IAD (2nd choice)
"I like the reunions where people stay close to the venue for the most part, and where wandering between groups of people is a great way to re-connect with our far-flung family.  "
We will go anywhere for a reunion!
"Considering cousins' advancing age, proximity to good medical facilities s.b. considered."
Thank you so much for all the hard effort and coordination you’re putting into it! 
"Should be concerned about expense up front.  There were people who didn't go to HI because of cost.  It's hard to speak up, particularly when everyone else is so enthusiastic.  Basically I want to be able to eat, see people, and not exclude anyone for money or disability."
"I answered more neutrally but I think the desire for kitchen access may depend more on where we are. If it more remote with less food option, I think kitchens would be more necessary. Or if it was a food included place, I think a kitchen would be nice too, in case the onsite food isn't good or suitable for dietary restrictions. "
Thanks for taking the lead on this info gathering!
There is so much bias against Texas which in the modern era of a/c is ridiculous. 
We plan to keep healthy so we can attend wherever it is decided.
"My favorite reunions have featured good central common spaces as well as large enough lodging spaces for some families to host gatherings like wine nights. The youngest generation has also grown so large that close proximity to activities, national/state parks, and family-friendly restaurants and brewery type places would be a big value add. "
"As we are traveling abroad I'm not even sure we can make the next reunion so I don't know if my answers help. If we can go it doesn't really matter where it's more an issue of cost. I'd love to see a reunion where we actually spend more time together, I feel the last several reunions have had so much going on around them that people don't spend much time on site ( except new Hampshire which was great)."
"What id really love to see from our next reunion is more family time. Im tired of not seeing each other almost at all during the day, or only a handful of people, because everyone is doing excursions with their own groups. I'd love to see more community dinners happen again, potlucks are ideal for this, so a space that would accommodate that would be amazing. Really, if everyone could agree that it's family time and not vacation time, I think those changes would come naturally, but that is probably asking too much!"
Thanks for getting the ball rolling
"I’m more limited in my capacity to help with planning while we are rebuilding, so I may not be able to do much for 2028. After that reunion, I’m hoping to have a lot more free time :)"
"Thanks for putting this together, much appreciated! "
thank you!
Interested in Hershey PA (The Suites at Hershey) and some locations in KY near KY Lake
"Housing, facilities, infrastructure and activities more important than area/state"
