Statistic,Ideal Budget,Maximum Budget
count,13.0,14.0
mean,213.46153846153845,307.14285714285717
median,200.0,275.0
std,92.76728534763336,123.81304587833357
min,75.0,150.0
25%,150.0,212.5
75%,250.0,387.5
max,400.0,550.0
