Region,Average Preference Score
Rockies,3.28125
Northeast,2.909090909090909
West Coast,2.774193548387097
Southwest,2.6129032258064515
Midwest,2.40625
HI,2.193548387096774
AK,2.096774193548387
Great Plains,1.967741935483871
TX,1.9090909090909092
Southeast,1.875
